Таблица неправильных глаголов

Инфинитив:	Прошедшее время:	Причастие прош. времени:	Перевод:
dare	durst; dared	dared	сметь
deal	dealt	dealt	иметь дело
dig	dug	dug	копать
dive	dived; dove	dived	нырять; погружаться
do	did	done	делать
draw	drew	drawn	тащить; рисовать
dream	dreamt; dreamed	dreamt; dreamed	грезить; мечтать
drink	drank	drunk	пить; выпить
drive	drove	driven	гнать; ехать
dwell	dwelt	dwelt	обитать; задерживаться
E
eat	ate	eaten	кушать; есть
F
fall	fell	fallen	падать
feed	fed	fed	кормить
feel	felt	felt	чувствовать
fight	fought	fought	сражаться
find	found	found	находить
flee	fled	fled	бежать; спасаться
fling	flung	flung	бросить
floodlight	floodlighted; floodlit	floodlighted; floodlit	освещать прожектором
fly	flew	flown	летать
forbear	forbore	forborne	воздерживаться
forbid	forbad; forbade	forbidden	запретить
forecast	forecast; forecasted	forecast; forecasted	предсказывать
foresee	foresaw	foreseen	предвидеть
foretell	foretold	foretold	предсказывать
forget	forgot	forgotten	забыть
forgive	forgave	forgiven	простить
forsake	forsook	forsaken	покидать
forswear	forswore	forsworn	отрекаться
freeze	froze	frozen	замерзнуть; замораживать
G
gainsay	gainsaid	gainsaid	отрицать; противоречить
get	got	got	получить
gild	gilt; gilded	gilt; gilded	позолотить
gird	girded; girt	girded; girt	опоясывать
give	gave	given	дать
go	went	gone	идти; уходить
grave	graved	graved; graven	гравировать
grind	ground	ground	точить; молоть
grow	grew	grown	расти
H
hamstring	hamstringed; hamstrung	hamstringed; hamstrung	подрезать поджилки
hang	hung; hanged	hung; hanged	висеть; повесить
have	had	had	иметь
hear	heard	heard	слушать
heave	heaved; hove	heaved; hove	подымать(ся)
hew	hewed/td>	hewed; hewn	рубить; тесать
hide	hid	hidden	прятать(ся)
hit	hit	hit	ударить; попасть
hold	held	held	держать
hurt	hurt	hurt	причинить боль
I
inlay	inlaid	inlaid	вкладывать; выстилать
input	input; inputted	input; inputted	входить
inset	inset	inset	вставлять; вкладывать
interweave	interwove	interwoven	воткать
K
keep	kept	kept	хранить
ken	kenned; kent	kenned	знать; узнавать по виду
kneel	knelt; kneeled	knelt; kneeled	становиться на колени
knit	knit; knitted	knit; knitted	вязать
know	knew	known	знать
L
lade	laded	laded; laden	грузить
lay	laid	laid	класть; положить
lead	led	led	вести
lean	leant; leaned	leant; leaned	опереться; прислониться
leap	leapt; leaped	leapt; leaped	прыгать
learn	learnt; learned	learnt; learned	учить
leave	left	left	оставить
lend	lent	lent	одолжить
let	let	let	пустить; дать
lie	lay	lain	лежать
light	lit; lighted	lit; lighted	осветить
lose	lost	lost	терять
M
make	made	made	делать
may	might	might	мочь; иметь возможность
mean	meant	meant	подразумевать
meet	met	met	встретить
miscast	miscast	miscast	неправильно распределять роли
misdeal	misdealt	misdealt	поступать неправильно
misgive	misgave	misgiven	внушать опасения
mishear	misheard	misheard	ослышаться
mishit	mishit	mishit	промахнуться
mislay	mislaid	mislaid	класть не на место
mislead	misled	misled	ввести в заблуждение
misread	misread	misread	неправильно истолковывать
misspell	misspelt; misspeled	misspelt; misspeled	писать с ошибками
misspend	misspent	misspent	экономить
mistake	mistook	mistaken	неправильно понимать
misunderstand	misunderstood	misunderstood	неправильно понимать
mow	mowed	mown; mowed	косить
O
outbid	outbid	outbid	перебивать цену
outdo	outdid	outdone	превосходить
outfight	outfought	outfought	побеждать (в бою)
outgrow	outgrew	outgrown	вырастать из
output	output; outputted	output; outputted	выходить
outrun	outran	outrun	перегонять; опережать
outsell	outsold	outsold	продавать лучше или дороже
outshine	outshone	outshone	затмевать
overbid	overbid	overbid	повелевать
overcome	overcame	overcome	компенсировать
overdo	overdid	overdone	пережари(ва)ть
overdraw	overdrew	overdrawn	превышать
overeat	overate	overeaten	объедаться
overfly	overflew	overflown	перелетать
overhang	overhung	overhung	нависать
overhear	overheard	overheard	подслуш(ив)ать
overlay	overlaid	overlaid	покры(ва)ть
overpay	overpaid	overpaid	переплачивать
override	overrode	overridden	отвергать; отклонять
overrun	overran	overrun	переливаться через край
oversee	oversaw	overseen	надзирать за
overshoot	overshot	overshot	расстрелять
oversleep	overslept	overslept	прос(ы)пать
overtake	overtook	overtaken	догонять
overthrow	overthrew	overthrown	свергать
P
partake	partook	partaken	принимать участие
pay	paid	paid	платить
plead	pleaded; pled	pleaded; pled	обращаться к суду
prepay	prepaid	prepaid	платить вперед
prove	proved	proved; proven	доказывать; оказаться
put	put	put	класть
Q
quit	quit; quitted	quit; quitted	покидать; оставлять
R
read	read; red	read; red	читать
rebind	rebound	rebound	перевязывать
rebuild	rebuilt	rebuilt	перестроить
recast	recast	recast	видоизменять; преобразовывать
redo	redid	redone	повторять сделанное
rehear	reheard	reheard	слушать вторично
remake	remade	remade	переделывать
rend	rent	rent	раздирать
repay	repaid	repaid	отдавать долг
rerun	reran	rerun	выполнять повторно
resell	resold	resold	перепродавать
reset	reset	reset	возвращать
resit	resat	resat	пересиживать
retake	retook	retaken	забирать
retell	retold	retold	пересказывать
rewrite	rewrote	rewritten	пере(за)писать
rid	rid; ridded	rid; ridded	избавлять
ride	rode	ridden	ездить верхом
ring	rang	rung	звонить
rise	rose	risen	подняться
rive	rived	riven	расщеплять
run	ran	run	бежать; течь
S
saw	sawed	sawn; sawed	пилить
say	said	said	говорить; сказать
see	saw	seen	видеть
seek	sought	sought	искать
sell	sold	sold	продавать
send	sent	sent	послать
set	set	set	устанавливать
sew	sewed	sewed; sewn	шить
shake	shook	shaken	трясти
shave	shaved	shaved; shaven	брить(ся)
shear	sheared	shorn; sheared	стричь
shed	shed	shed	проливать
shine	shone; shined	shone; shined	светить; сиять
shoe	shod	shod	обувать; подковывать
shoot	shot	shot	стрелять; давать побеги
show	showed	shown; showed	показывать
shred	shred; shredded	shred; shredded	кромсать; расползаться
shrink	shrank; shrunk	shrunk	сокращаться; сжиматься; отпрянуть
shrive	shrove; shrived	shriven; shrived	исповедовать
shut	shut	shut	закрывать
sing	sang	sung	петь
sink	sank	sunk	опускаться; погружаться; тонуть
sit	sat	sat	сидеть
slay	slew	slain	убивать
sleep	slept	slept	спать
slide	slid	slid	скользить
sling	slung	slung	швырять; подвешивать
slink	slunk	slunk	идти крадучись
slit	slit	slit	раздирать(ся); разрезать (вдоль)
smell	smelt; smelled	smelt; smelled	пахнуть; нюхать
smite	smote	smitten	ударять; разбивать
sow	sowed	sowed; sown	(по)сеять
speak	spoke	spoken	говорить
speed	sped; speeded	sped; speeded	ускорять; спешить
spell	spelt; spelled	spell; spelled	писать или читать по буквам
spend	spent	spent	тратить
spill	spilt; spilled	spilt; spilled	пролить
spin	spun; span	spun	прясть
spit	spat; spit	spat; spit	плевать
split	split	split	расщепить(ся)
spoil	spoilt; spoiled	spoilt; spoiled	портить
spotlight	spotlit; spotlighted	spotlit; spotlighted	осветить
spread	spread	spread	распространиться
spring	sprang	sprung	вскочить; возникнуть
stand	stood	stood	стоять
stave	staved; stove	staved; stove	проламывать; разби(ва)ть
steal	stole	stolen	украсть
stick	stuck	stuck	уколоть; приклеить
sting	stung	stung	ужалить
stink	stank; stunk	stunk	вонять
strew	strewed	strewn; strewed	усеять; устлать
stride	strode	stridden	шагать
strike	struck	struck	ударить; бить; бастовать
string	strung	strung	нанизать; натянуть
strive	strove	striven	стараться
sublet	sublet	sublet	передавать в субаренду
swear	swore	sworn	(по)клясться; присягнуть
sweep	swept	swept	мести; промчаться
swell	swelled	swollen; swelled	вздуться
swim	swam	swum	плыть
swing	swung	swung	качаться
T
take	took	taken	взять; брать
teach	taught	taught	учить
tear	tore	torn	рвать
tell	told	told	рассказывать; сказать
think	thought	thought	думать
thrive	throve; trived	thriven; trived	процветать
throw	threw	thrown	бросить
thrust	thrust	thrust	толкнуть; сунуть
tread	trod	trod; trodden	ступать
U
unbend	unbent	unbent	разогнуть(ся)
underbid	underbid	underbid	снижать цену
undercut	undercut	undercut	сбивать цены
undergo	underwent	undergone	проходить; подвергаться
underlie	underlay	underlain	лежать в основе
underpay	underpaid	underpaid	оплачивать слишком низко
undersell	undersold	undersold	продавать дешевле
understand	understood	understood	понимать
undertake	undertook	undertaken	предпринять
underwrite	underwrote	underwritten	подписыва(ть)ся
undo	undid	undone	уничтожать сделанное
unfreeze	unfroze	unfrozen	размораживать
unsay	unsaid	unsaid	брать назад свои слова
unwind	unwound	unwound	развертывать
uphold	upheld	upheld	поддерживать
upset	upset	upset	опрокинуть(ся)
W
wake	woke; waked	woken; waked	просыпаться; будить
waylay	waylaid	waylaid	подстерегать
wear	wore	worn	носить(одежду)
weave	wove; weaved	woven; weaved	ткать
wed	wed; wedded	wed; wedded	выдавать замуж
weep	wept	wept	плакать
wet	wet; wetted	wet; wetted	мочить; увлажнять
win	won	won	выиграть
wind	wound	wound	заводить (механизм)
withdraw	withdrew	withdrawn	взять назад; отозвать
withhold	withheld	withheld	удерживать
withstand	withstood	withstood	противиться
work	worked; wrought	worked; wrought	работать
wring	wrung	wrung	скрутить; сжать
write	wrote	written	писать
